candidate_key,paper_id,chunk_id,concept_id,automatic_status,manual_decision,error_types,raw_subject,raw_relation,raw_object,effective_subject,effective_relation,effective_object,manual_subject,manual_relation,manual_object,manual_reason,source_phrase,rejection_reason_codes_json,repair_rule_ids_json
106753a01b576d523525,Kiwook_2,Kiwook_2:main:0a1a15b81240ecfab3f8,bp_antibonding_state_hydrogen_interaction,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,antibonding-state energy,CORRELATES_WITH,hydrogen interaction strength,antibonding-state energy,CORRELATES_WITH,hydrogen interaction strength,,,,LEXICAL_FALSE_NEGATIVE,"The antibonding states of Mo<sub>2</sub>-NG system (1.67 eV) move to higher energy level compared to W<sub>1</sub>Mo<sub>1</sub>-NG system (0.50 eV), indicating strong interaction with hydrogen (40), which corresponds to the excessive adsorption strength of Mo<sub>2</sub>-NG ( $\Delta G_H = -3.172$  eV).","[""RELATION_CUE_MISMATCH""]",[]
6fb46eaedba84e24b962,Kiwook_2,Kiwook_2:main:3a476d4627a0350a8b17,bp_structural_asymmetry_suppresses_aggregation,ACCEPTED_PATTERN,RELABEL_AND_ACCEPT,ARGUMENT_DIRECTION_ERROR,support–precursor structural asymmetry,SUPPRESSES,precursor aggregation into block materials,support–precursor structural asymmetry,SUPPRESSES,precursor aggregation into block materials,protonated p-RGO sheets acting as counterions,SUPPRESSES,tungstate and molybdate fragment aggregation into block materials,ARGUMENT_SCOPE_MISMATCH,"The successful synthesis of  $\text{W}_1\text{Mo}_1\text{-NG DAC}$  is contributed to the structural asymmetry between the protonated p-RGO sheets and metal precursors in mild acidic solution, in which protonated p-RGO sheets working as counterion inhibit  $\text{WO}_4^{2-}$  and  $\text{MoO}_4^{2-}$  fragments aggregating into block materials (19).",[],[]
946f915fb9b30fcb6016,Kiwook_2,Kiwook_2:main:4085f8e181e8e2b4b7f8,bp_1,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,heteronuclear dual-atom architecture,CONTRASTS_WITH,homonuclear dual-atom architectures,heteronuclear dual-atom architecture,CONTRASTS_WITH,homonuclear dual-atom architectures,,,,LEXICAL_FALSE_NEGATIVE,The results indicate that heteronuclear  $\text{W}_1\text{Mo}_1\text{-NG}$  system delivers prominent catalytic hydrogen production capacity compared to homonuclear  $\text{Mo}_2\text{-NG}$  and  $\text{W}_2\text{-NG}$ .,"[""RELATION_CUE_MISMATCH""]",[]
9d55510429756fcf562e,Kiwook_2,Kiwook_2:main:4085f8e181e8e2b4b7f8,bp_2,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,distinctive dual-atom coordination configuration,MODULATES,electron transfer from catalyst surface to adsorbed species,distinctive dual-atom coordination configuration,MODULATES,electron transfer from catalyst surface to adsorbed species,,,,LEXICAL_FALSE_NEGATIVE,"This superior catalytic performance is related to the distinctive W—O—Mo—O—C configuration, which provides a unique electronic structure and improves electrical conductivity, notably affecting on the electron transfer from the catalyst surface to adsorbed species (35).","[""RELATION_CUE_MISMATCH""]",[]
6470ec47eea56d7bcbce,Kiwook_2,Kiwook_2:main:42fb715a6421357ffec3,pattern_coordination_number_composition,ACCEPTED_PATTERN,ACCEPT_AS_IS,RELATION_LABEL_ERROR;REPAIR_NOT_GOLD_CORRECT,second-shell W-O/N coordination number,VARIES_WITH,dual-atom composition,second-shell W-O/N coordination number,CONTRASTS_WITH,dual-atom composition,,,,VALID_AS_IS,"Note that the local coordination of Mo atom in  $Mo_2$ -NG resembles that of  $W_1Mo_1$ -NG, suggesting similar local environment around the Mo center, while for  $W_2$ -NG, the CN of the W—O/N path (second shell) is 2.3, which is higher than that of  $W_1Mo_1$ -NG (1.7).",[],"[""PAIRWISE_COMPARISON_TO_CONTRAST""]"
e055aeb87e4c06c99555,Kiwook_2,Kiwook_2:main:4b679c47626efc81f16c,bp_local_electronic_structure_her_performance,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,favorable local electronic structure in a heterobimetallic oxide-carbon moiety,PROMOTES,HER performance,favorable local electronic structure in a heterobimetallic oxide-carbon moiety,PROMOTES,HER performance,,,,LEXICAL_FALSE_NEGATIVE,"Notably, the HER performance of $\text{W}_1\text{Mo}_1\text{-NG}$ catalyst is extremely superior to $\text{Mo}_2\text{-NG}$ and $\text{W}_2\text{-NG}$ , which can be attributed to the atomic W—O—Mo—O—C moiety having favorable local electronic structure.","[""RELATION_CUE_MISMATCH""]",[]
99a8833ff2f0ba74eeb9,Kiwook_2,Kiwook_2:main:4b679c47626efc81f16c,bp_heteronuclear_vs_homonuclear_dual_atom_her,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,heteronuclear dual-atom architecture,CONTRASTS_WITH,homonuclear dual-atom architectures,heteronuclear dual-atom architecture,CONTRASTS_WITH,homonuclear dual-atom architectures,,,,LEXICAL_FALSE_NEGATIVE,"Notably, the HER performance of $\text{W}_1\text{Mo}_1\text{-NG}$ catalyst is extremely superior to $\text{Mo}_2\text{-NG}$ and $\text{W}_2\text{-NG}$","[""RELATION_CUE_MISMATCH""]",[]
c66387949d8440762d07,Kiwook_2,Kiwook_2:main:7c42680fc094a6a094bf,bp1,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,support wrinkles and ripples,PROMOTES,metallic-species stabilization,support wrinkles and ripples,PROMOTES,metallic-species stabilization,,,,LEXICAL_FALSE_NEGATIVE,"As revealed in Fig. 2A and fig. S1,  $\text{W}_1\text{Mo}_1\text{-NG}$  and RGO have similar morphology with abundant wrinkles and ripples, which serve as anchoring sites to stabilize the metallic species.","[""RELATION_CUE_MISMATCH""]",[]
fce80b47b873f95ca64f,Kiwook_2,Kiwook_2:main:7c42680fc094a6a094bf,bp3,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,support-generated voids,PROMOTES,heterodimer nucleation,support-generated voids,PROMOTES,heterodimer nucleation,,,,LEXICAL_FALSE_NEGATIVE,"These results suggest that the interacted W and Mo atoms can effectively inhibit the agglomeration of NG sheets and generate a considerable amount of voids (fig. S6), which provides nucleation sites for W-Mo heterodimers.","[""RELATION_CUE_MISMATCH""]",[]
78ab54298b1cdd48d2df,Kiwook_2,Kiwook_2:main:93fc2625bf776e2d2c7f,bridge_pom_oxo_proton_site_selection,ACCEPTED_PATTERN,RELABEL_AND_ACCEPT,ARGUMENT_DIRECTION_ERROR,POM-inherited bridged-oxo coordination motif,SELECTS,proton adsorption site,POM-inherited bridged-oxo coordination motif,SELECTS,proton adsorption site,POM-derived oxygen-coordination environment,SELECTS,bridging-oxygen proton-adsorption site,ARGUMENT_SCOPE_MISMATCH,"Specifically, the bridged oxo in POMs is preferred for proton adsorption; thus, bridging oxygen in W—O—Mo—O—C configuration inherited from POMs shows optimal  $\Delta G_H$  in electrocatalytic HER.",[],[]
f0d37b6858b2a7f6a995,Kiwook_2,Kiwook_2:main:93fc2625bf776e2d2c7f,bridge_heteronuclear_homonuclear_her_contrast,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,heteronuclear dual-atom architecture,CONTRASTS_WITH,homonuclear dual-atom architectures,heteronuclear dual-atom architecture,CONTRASTS_WITH,homonuclear dual-atom architectures,,,,LEXICAL_FALSE_NEGATIVE,"Thus, according to the DFT calculation results, the O-coordinated W<sub>1</sub>Mo<sub>1</sub>-NG system has a near-optimum synergistic effect and gives more favorable  $\Delta G_H$  for HER than O-coordinated Mo<sub>2</sub>-NG and N-coordinated W<sub>2</sub>-NG systems as well as other Mo atom– and W atom–nucleated structures.","[""RELATION_CUE_MISMATCH""]",[]
9fcc0e7a98c704bef3dd,Kiwook_2,Kiwook_2:main:93fc2625bf776e2d2c7f,bridge_oxo_heterodimer_electronic_environment,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,W—O—Mo—O—C configuration,MODULATES,electron environment for HER,W—O—Mo—O—C configuration,MODULATES,electron environment for HER,,,,LEXICAL_FALSE_NEGATIVE,"indicating that W—O—Mo—O—C configuration could redistribute the electronic structure, which affords an improved electron environment for HER.","[""RELATION_CUE_MISMATCH""]",[]
0fd0bab302b8dd86a997,Kiwook_2,Kiwook_2:main:aa6dedebab13cae1d393,concept_kinetics_intrinsic_activity,ACCEPTED_PATTERN,KEEP_REJECTED,FALSE_POSITIVE,HER kinetics,PROMOTES,intrinsic activity,HER kinetics,PROMOTES,intrinsic activity,,,,CAUSALITY_OVERREACH,"Distinctly,  $\text{W}_1\text{Mo}_1\text{-NG}$  has such a lower Tafel slope and larger  $j_0$  value than those of  $\text{Mo}_2\text{-NG}$ ,  $\text{W}_2\text{-NG}$ , and raw NG, suggesting the superior HER kinetics and enhancing the intrinsic activity of  $\text{W}_1\text{Mo}_1\text{-NG}$ .",[],[]
4681763410e5fe8abae2,Kiwook_2,Kiwook_2:main:b59fb49d6a5ba373c5ee,bridge_coordination_environment_varies_with_metal_composition,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,coordination environment,VARIES_WITH,metal composition,coordination environment,VARIES_WITH,metal composition,,,,LEXICAL_FALSE_NEGATIVE,"$W_1Mo_1$ -NG and  $Mo_2$ -NG are O-coordinated, while the W(VI) in  $W_2$ -NG are co-coordinated with O and N atoms.","[""RELATION_CUE_MISMATCH""]",[]
24d2f085b5b4f4e00bce,Kiwook_2,Kiwook_2:main:bac4243fe6f053d74649,bridge_heteronuclear_architecture_activity_contrast,REJECTED,RELABEL_AND_ACCEPT,FALSE_NEGATIVE,heteronuclear dual-atom architecture,CONTRASTS_WITH,homo- and benchmark comparator catalysts,heteronuclear dual-atom architecture,CONTRASTS_WITH,homo- and benchmark comparator catalysts,heteronuclear W–Mo dual-atom architecture,CONTRASTS_WITH,homonuclear Mo2/W2 dual-atom architectures,ARGUMENT_SCOPE_MISMATCH,"These reveal that $\text{W}_1\text{Mo}_1\text{-NG}$  has better intrinsic activity than $\text{Mo}_2\text{-NG}$ , $\text{W}_2\text{-NG}$ , and NG, even outperforming benchmark Pt/C in pH-universal electrolyte (8).","[""RELATION_CUE_MISMATCH""]",[]
d5802cd82c7ea00fd24e,Kiwook_2,Kiwook_2:main:c71613a5ab892bc52b28,pattern_electronic_delocalization_h_adsorption,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,delocalized electrons,CORRELATES_WITH,favorable H adsorption behavior,delocalized electrons,CORRELATES_WITH,favorable H adsorption behavior,,,,LEXICAL_FALSE_NEGATIVE,"Notably, heteronuclear W<sub>1</sub>Mo<sub>1</sub>-NG exhibits an increased DOS for the occupied states from 0.30 eV to the  $E_F$  (the shadowed part in Fig. 6I) due to the delocalized electrons (37), corresponding to the favorable adsorption behavior of H.","[""RELATION_CUE_MISMATCH""]",[]
21539090b17ec77c6532,Kiwook_2,Kiwook_2:main:c71613a5ab892bc52b28,pattern_ionic_character_h_overbinding,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,increased ionic character,PROMOTES,strong H overbinding,increased ionic character,PROMOTES,strong H overbinding,,,,LEXICAL_FALSE_NEGATIVE,"Compared to heteronuclear W<sub>1</sub>Mo<sub>1</sub>-NG, the homonuclear Mo<sub>2</sub>-NG and W<sub>2</sub>-NG exhibit growing ionic nature because the electrons are strongly localized around coordination atoms (Fig. 6, G and H), via which the electrons from the metal centers are partially depleted to the coordinated O sites, leading to strong overbinding of H.","[""RELATION_CUE_MISMATCH""]",[]
cef9d59eb1ab71541809,Kiwook_2,Kiwook_2:main:e33520737e4ae5888ca2,concept_her_kinetic_architecture_contrast,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,heteronuclear dual-atom architecture,CONTRASTS_WITH,homonuclear dual-atom and metal-free graphene architectures,heteronuclear dual-atom architecture,CONTRASTS_WITH,homonuclear dual-atom and metal-free graphene architectures,,,,LEXICAL_FALSE_NEGATIVE,"The results reveal that  $\text{W}_1\text{Mo}_1\text{-NG}$  has more favorable HER kinetics than  $\text{Mo}_2\text{-NG}$ ,  $\text{W}_2\text{-NG}$ , and NG under both acidic and alkaline media.","[""RELATION_CUE_MISMATCH""]",[]
d770a017713dd3d4b529,Kiwook_2,Kiwook_2:main:ef57c4d09185da24ad36,concept_wmo_synergy_kinetic_barrier,REJECTED,RELABEL_AND_ACCEPT,FALSE_NEGATIVE,W–Mo species synergy,MODULATES,HER reaction kinetic barrier,W–Mo species synergy,MODULATES,HER reaction kinetic barrier,W–Mo species synergy,SUPPRESSES,HER reaction kinetic barrier,RELATION_TYPE_MISMATCH,indicating that the synergy of W and Mo species decreases the reaction kinetic barrier for HER.,"[""RELATION_CUE_MISMATCH""]",[]
20e0528a2220a79821bd,Kiwook_2,Kiwook_2:main:fab2cf1db1d475a27275,bridge_active_site_configuration_activity,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,active-site coordination configuration,PROMOTES,HER catalytic activity and stability,active-site coordination configuration,PROMOTES,HER catalytic activity and stability,,,,LEXICAL_FALSE_NEGATIVE,"The distinctive $W-O-Mo-O-C$ configuration is the active site for HER, which guarantees excellent catalytic activity and high stability.","[""RELATION_CUE_MISMATCH""]",[]
e59d457a8c0ce0aaf397,Kiwook_2,Kiwook_2:si1:e242ff6b676ebedc5d66,bridge_coordination_site_h_adsorption_contrast,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,O and C atoms coordinated with Mo atom,CONTRASTS_WITH,Mo9 site,O and C atoms coordinated with Mo atom,CONTRASTS_WITH,Mo9 site,,,,LEXICAL_FALSE_NEGATIVE,The H can't form an effective adsorption structure on Mo9 site and can only adsorb to O and C atoms coordinated with Mo atom.,"[""RELATION_CUE_MISMATCH""]",[]
87a9d8a1983111c7e372,Kiwook_3,Kiwook_3:main:4ac2df36d08f4c463c0f,pattern_dac_sac_her_activity_contrast,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,dual-atom catalyst architecture,CONTRASTS_WITH,corresponding single-atom catalyst architecture,dual-atom catalyst architecture,CONTRASTS_WITH,corresponding single-atom catalyst architecture,,,,LEXICAL_FALSE_NEGATIVE,"We further show that some of the DACs present better catalytic activities in hydrogen evolution reaction (HER) than the corresponding SACs, which can be attributed to the optimal charge transfer that is tuned by the additional atom.","[""RELATION_CUE_MISMATCH""]",[]
8426b14553d67f581301,Kiwook_3,Kiwook_3:main:4ac2df36d08f4c463c0f,pattern_additional_atom_charge_transfer_modulation,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,additional atom,MODULATES,charge transfer,additional atom,MODULATES,charge transfer,,,,LEXICAL_FALSE_NEGATIVE,"We further show that some of the DACs present better catalytic activities in hydrogen evolution reaction (HER) than the corresponding SACs, which can be attributed to the optimal charge transfer that is tuned by the additional atom.","[""RELATION_CUE_MISMATCH""]",[]
6c5d3d2a067e592cd81b,Kiwook_3,Kiwook_3:main:66ab9ac409911285a6b4,bc_svgn3_site_selection,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,nitrogen-vacancy support,SELECTS,single-vacancy adsorption site,nitrogen-vacancy support,SELECTS,single-vacancy adsorption site,,,,LEXICAL_FALSE_NEGATIVE,"For  $TM_1-SVGN_3$ , the  $M_1$  is embedded in the position of the S point for all the elements.","[""RELATION_CUE_MISMATCH""]",[]
974748386488f5d51ad7,Kiwook_3,Kiwook_3:main:8c9c1588055d211885f7,bp_1,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,anchored SAC stability,IMPOSES_TRADEOFF,catalytic activity,anchored SAC stability,IMPOSES_TRADEOFF,catalytic activity,,,,LEXICAL_FALSE_NEGATIVE,"Despite the significant progress in theory and experiments, the stability of anchored SACs possibly comes with the sacrifice of activity because of the too strong metal-support interaction.","[""RELATION_CUE_MISMATCH""]",[]
e3d82ec6a144ad4c586f,Kiwook_3,Kiwook_3:main:8c9c1588055d211885f7,bp_2,REJECTED,RELABEL_AND_ACCEPT,FALSE_NEGATIVE,strong single-atom adsorption sites,SELECTS,secondary-atom capture for DAC formation,strong single-atom adsorption sites,SELECTS,secondary-atom capture for DAC formation,strong adsorption capacity of anchored single atoms,PROMOTES,secondary-atom capture and DAC formation,RELATION_TYPE_MISMATCH,"As the single atoms in SACs always have a stronger adsorption capacity than any other sites of support, the secondary atom is thermodynamically more likely to be captured to form DACs [25].","[""RELATION_CUE_MISMATCH""]",[]
9208999fc90a42cf7c5e,Kiwook_3,Kiwook_3:main:8c9c1588055d211885f7,bp_3,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,preferred SAC-versus-DAC configuration,VARIES_WITH,transition-metal identity,preferred SAC-versus-DAC configuration,VARIES_WITH,transition-metal identity,,,,LEXICAL_FALSE_NEGATIVE,"Among the 24 TM elements, 17 of them generally prefer to form the anchored SACs ( $TM_1-SVGN_3$ ), while the rest of them are prone to forming DACs ( $TM_2-SVGN_3$ ) instead of SACs.","[""RELATION_CUE_MISMATCH""]",[]
bab504141c7aa4cc25cc,Kiwook_3,Kiwook_3:main:8c9c1588055d211885f7,bp_4,REJECTED,ACCEPT_AS_IS,FALSE_NEGATIVE,dual-atom catalyst architecture,CONTRASTS_WITH,single-atom catalyst architecture,dual-atom catalyst architecture,CONTRASTS_WITH,single-atom catalyst architecture,,,,LEXICAL_FALSE_NEGATIVE,"We found 13 DACs showed higher HER activity than SACs, in which  $Re_2-SVGN_3$  show the superior activity.","[""RELATION_CUE_MISMATCH""]",[]
bb995c9978fa91ca192f,Kiwook_3,Kiwook_3:main:dd15aaed7d05ad556637,pattern_binding_energy_varies_with_metal_identity,ACCEPTED_PATTERN,KEEP_REJECTED,FALSE_POSITIVE,single-atom binding energy,VARIES_WITH,transition-metal identity,single-atom binding energy,VARIES_WITH,transition-metal identity,,,,INSUFFICIENT_COMPARISON_EVIDENCE,| Ti | S    | -6.29      | 1.91                   | 1.91                   | 1.91                   | 1.58 |,[],[]
fa0810c52f16431e640f,Kiwook_3,Kiwook_3:main:fd1ef3191dcc894da599,bridge_binding_energy_identity_variation,ACCEPTED_PATTERN,RELABEL_AND_ACCEPT,ARGUMENT_DIRECTION_ERROR,hydrogen binding strength,VARIES_WITH,metal identity,hydrogen binding strength,VARIES_WITH,metal identity,single-atom binding energy on pure graphene,VARIES_WITH,transition-metal identity,ARGUMENT_SCOPE_MISMATCH,| Ag | B    | − | 0.01 | 3.47 |,[],[]
b8a4fa227e4d8a4b150a,Kiwook_3,Kiwook_3:si1:8ce600ea41dfb70b02c5,pattern_h_adsorption_free_energy_varies_with_metal_identity,ACCEPTED_PATTERN,KEEP_REJECTED,FALSE_POSITIVE,hydrogen adsorption free energy,VARIES_WITH,metal identity,hydrogen adsorption free energy,VARIES_WITH,metal identity,,,,INSUFFICIENT_COMPARISON_EVIDENCE,| Ti | -0.595    | 0.1595     | -0.202      | -0.23     |,[],[]
