candidate_key,paper_id,chunk_id,concept_id,automatic_status,policy_lane,manual_decision,error_types,raw_subject,raw_relation,raw_object,effective_subject,effective_relation,effective_object,manual_subject,manual_relation,manual_object,gold_subject,gold_relation,gold_object,manual_reason,source_phrase,candidate_reason_codes_json,rejection_reason_codes_json,repair_rule_ids_json,evidence_pointer_count,manual_anchor_correct
72a86163fc1af4c4891c,Kiwook_1,Kiwook_1:si1:5c4d7e51f8d85dbc3136,bp_mass_activity_catalyst_architecture,SEMANTIC_CANDIDATE,candidate,ACCEPT_AS_IS,CONFIRMED_MISS_RECOVERED_AS_CANDIDATE,HER mass activity,VARIES_WITH,catalyst architecture,HER mass activity,VARIES_WITH,catalyst architecture,,,,HER mass activity,VARIES_WITH,catalyst architecture,VALID_AS_IS,| Catalyst Pt-Ru dimer | Overpotential /mV 50 | Mass activity / A mg -1 23.1 | Supplementary References Our work |,"[""TABLE_DERIVED_RELATION_REQUIRES_CONTEXT""]",[],[],1,yes
78ab54298b1cdd48d2df,Kiwook_2,Kiwook_2:main:93fc2625bf776e2d2c7f,bridge_pom_oxo_proton_site_selection,ACCEPTED_PATTERN,confirmed,RELABEL_AND_ACCEPT,ARGUMENT_TUPLE_ERROR;ARGUMENT_SUBJECT_ERROR;ARGUMENT_OBJECT_ERROR,POM-inherited bridged-oxo coordination motif,SELECTS,proton adsorption site,POM-inherited bridged-oxo coordination motif,SELECTS,proton adsorption site,POM-derived oxygen-coordination environment,SELECTS,bridging-oxygen proton-adsorption site,POM-derived oxygen-coordination environment,SELECTS,bridging-oxygen proton-adsorption site,ARGUMENT_SCOPE_MISMATCH,"Specifically, the bridged oxo in POMs is preferred for proton adsorption; thus, bridging oxygen in W—O—Mo—O—C configuration inherited from POMs shows optimal  $\Delta G_H$  in electrocatalytic HER.",[],[],[],1,yes
7bc44b14c1a787debebe,Kiwook_3,Kiwook_3:si1:734b32664d6514a751a1,concept_h_adsorption_free_energy_varies_with_metal_identity,SEMANTIC_CANDIDATE,candidate,ACCEPT_AS_IS,CONFIRMED_MISS_RECOVERED_AS_CANDIDATE,hydrogen adsorption free energy,VARIES_WITH,metal identity,hydrogen adsorption free energy,VARIES_WITH,metal identity,,,,hydrogen adsorption free energy,VARIES_WITH,metal identity,VALID_AS_IS,| Co | -0.175    | 0.0415     | -0.180      | 0.05      |,"[""TABLE_DERIVED_RELATION_REQUIRES_CONTEXT""]",[],[],1,yes
87a9d8a1983111c7e372,Kiwook_3,Kiwook_3:main:4ac2df36d08f4c463c0f,pattern_dac_sac_her_activity_contrast,SEMANTIC_CANDIDATE,candidate,ACCEPT_AS_IS,CONFIRMED_MISS_RECOVERED_AS_CANDIDATE,dual-atom catalyst architecture,CONTRASTS_WITH,corresponding single-atom catalyst architecture,dual-atom catalyst architecture,CONTRASTS_WITH,corresponding single-atom catalyst architecture,,,,dual-atom catalyst architecture,CONTRASTS_WITH,corresponding single-atom catalyst architecture,LEXICAL_FALSE_NEGATIVE,"We further show that some of the DACs present better catalytic activities in hydrogen evolution reaction (HER) than the corresponding SACs, which can be attributed to the optimal charge transfer that is tuned by the additional atom.","[""RELATION_CUE_MISMATCH""]",[],[],1,yes
8e180cbd80069ddc34c0,Kiwook_3,Kiwook_3:main:fd1ef3191dcc894da599,bridge_site_identity_variation,SEMANTIC_CANDIDATE,candidate,ACCEPT_AS_IS,CONFIRMED_MISS_RECOVERED_AS_CANDIDATE,preferred adsorption site,VARIES_WITH,metal identity,preferred adsorption site,VARIES_WITH,metal identity,,,,preferred adsorption site,VARIES_WITH,metal identity,VALID_AS_IS,| Ti | H    | − | 1.98 | 1.85 |,"[""TABLE_DERIVED_RELATION_REQUIRES_CONTEXT""]",[],[],1,yes
9208999fc90a42cf7c5e,Kiwook_3,Kiwook_3:main:8c9c1588055d211885f7,bp_3,SEMANTIC_CANDIDATE,candidate,ACCEPT_AS_IS,CONFIRMED_MISS_RECOVERED_AS_CANDIDATE,preferred SAC-versus-DAC configuration,VARIES_WITH,transition-metal identity,preferred SAC-versus-DAC configuration,VARIES_WITH,transition-metal identity,,,,preferred SAC-versus-DAC configuration,VARIES_WITH,transition-metal identity,LEXICAL_FALSE_NEGATIVE,"Among the 24 TM elements, 17 of them generally prefer to form the anchored SACs ( $TM_1-SVGN_3$ ), while the rest of them are prone to forming DACs ( $TM_2-SVGN_3$ ) instead of SACs.","[""RELATION_CUE_MISMATCH""]",[],[],1,yes
b8a4fa227e4d8a4b150a,Kiwook_3,Kiwook_3:si1:8ce600ea41dfb70b02c5,pattern_h_adsorption_free_energy_varies_with_metal_identity,SEMANTIC_CANDIDATE,candidate,KEEP_REJECTED,INVALID_SEMANTIC_CANDIDATE,hydrogen adsorption free energy,VARIES_WITH,metal identity,hydrogen adsorption free energy,VARIES_WITH,metal identity,,,,,,,INSUFFICIENT_COMPARISON_EVIDENCE,| Ti | -0.595    | 0.1595     | -0.202      | -0.23     |,"[""TABLE_DERIVED_RELATION_REQUIRES_CONTEXT""]",[],[],1,yes
bb995c9978fa91ca192f,Kiwook_3,Kiwook_3:main:dd15aaed7d05ad556637,pattern_binding_energy_varies_with_metal_identity,SEMANTIC_CANDIDATE,candidate,KEEP_REJECTED,INVALID_SEMANTIC_CANDIDATE,single-atom binding energy,VARIES_WITH,transition-metal identity,single-atom binding energy,VARIES_WITH,transition-metal identity,,,,,,,INSUFFICIENT_COMPARISON_EVIDENCE,| Ti | S    | -6.29      | 1.91                   | 1.91                   | 1.91                   | 1.58 |,"[""TABLE_DERIVED_RELATION_REQUIRES_CONTEXT""]",[],[],3,yes
bfc0f4503b9c44fc1622,Kiwook_1,Kiwook_1:main:be8868e3262b4d891d07,concept_pt_wl_total_varies_with_sample_class,SEMANTIC_CANDIDATE,candidate,ACCEPT_AS_IS,CONFIRMED_MISS_RECOVERED_AS_CANDIDATE,total Pt white-line value,VARIES_WITH,Pt-containing sample class,total Pt white-line value,VARIES_WITH,Pt-containing sample class,,,,total Pt white-line value,VARIES_WITH,Pt-containing sample class,VALID_AS_IS,| Pt foil                                                                                                                                                                                                                                                                       | 11564                            | 11566.6                             | 6.36                         | 13273                     | 13276.5                | 4.1             | 0.51             | 0.19             | 0.70  |,"[""TABLE_DERIVED_RELATION_REQUIRES_CONTEXT""]",[],[],1,yes
d166d1c4eaae0f4ccacb,Kiwook_2,Kiwook_2:main:0810ee1ff1fe164ae47d,bridge_coordination_robustness_stability,SEMANTIC_CANDIDATE,candidate,ACCEPT_AS_IS,CONFIRMED_MISS_RECOVERED_AS_CANDIDATE,robust coordination configuration with strong metal–oxygen bonds,PROMOTES,physicochemical stability,robust coordination configuration with strong metal–oxygen bonds,PROMOTES,physicochemical stability,,,,robust coordination configuration with strong metal–oxygen bonds,PROMOTES,physicochemical stability,LEXICAL_FALSE_NEGATIVE,"The excellent physicochemical stability can be attributed to the robust W—O—Mo—O—C configuration with strong W—O and Mo—O bonds inherited from the W- and Mo-based POMs, respectively.","[""RELATION_CUE_MISMATCH""]",[],[],1,yes
d770a017713dd3d4b529,Kiwook_2,Kiwook_2:main:ef57c4d09185da24ad36,concept_wmo_synergy_kinetic_barrier,SEMANTIC_CANDIDATE,candidate,RELABEL_AND_ACCEPT,CONFIRMED_MISS_RECOVERED_AS_CANDIDATE,W–Mo species synergy,MODULATES,HER reaction kinetic barrier,W–Mo species synergy,MODULATES,HER reaction kinetic barrier,W–Mo species synergy,SUPPRESSES,HER reaction kinetic barrier,W–Mo species synergy,SUPPRESSES,HER reaction kinetic barrier,RELATION_TYPE_MISMATCH,indicating that the synergy of W and Mo species decreases the reaction kinetic barrier for HER.,"[""RELATION_CUE_MISMATCH""]",[],[],1,yes
e055aeb87e4c06c99555,Kiwook_2,Kiwook_2:main:4b679c47626efc81f16c,bp_local_electronic_structure_her_performance,SEMANTIC_CANDIDATE,candidate,ACCEPT_AS_IS,CONFIRMED_MISS_RECOVERED_AS_CANDIDATE,favorable local electronic structure in a heterobimetallic oxide-carbon moiety,PROMOTES,HER performance,favorable local electronic structure in a heterobimetallic oxide-carbon moiety,PROMOTES,HER performance,,,,favorable local electronic structure in a heterobimetallic oxide-carbon moiety,PROMOTES,HER performance,LEXICAL_FALSE_NEGATIVE,"Notably, the HER performance of $\text{W}_1\text{Mo}_1\text{-NG}$ catalyst is extremely superior to $\text{Mo}_2\text{-NG}$ and $\text{W}_2\text{-NG}$ , which can be attributed to the atomic W—O—Mo—O—C moiety having favorable local electronic structure.","[""RELATION_CUE_MISMATCH""]",[],[],1,yes
e3d82ec6a144ad4c586f,Kiwook_3,Kiwook_3:main:8c9c1588055d211885f7,bp_2,SEMANTIC_CANDIDATE,candidate,RELABEL_AND_ACCEPT,CONFIRMED_MISS_RECOVERED_AS_CANDIDATE,strong single-atom adsorption sites,SELECTS,secondary-atom capture for DAC formation,strong single-atom adsorption sites,SELECTS,secondary-atom capture for DAC formation,strong adsorption capacity of anchored single atoms,PROMOTES,secondary-atom capture and DAC formation,strong adsorption capacity of anchored single atoms,PROMOTES,secondary-atom capture and DAC formation,RELATION_TYPE_MISMATCH,"As the single atoms in SACs always have a stronger adsorption capacity than any other sites of support, the secondary atom is thermodynamically more likely to be captured to form DACs [25].","[""RELATION_CUE_MISMATCH""]",[],[],1,yes
e59d457a8c0ce0aaf397,Kiwook_2,Kiwook_2:si1:e242ff6b676ebedc5d66,bridge_coordination_site_h_adsorption_contrast,SEMANTIC_CANDIDATE,candidate,ACCEPT_AS_IS,CONFIRMED_MISS_RECOVERED_AS_CANDIDATE,O and C atoms coordinated with Mo atom,CONTRASTS_WITH,Mo9 site,O and C atoms coordinated with Mo atom,CONTRASTS_WITH,Mo9 site,,,,O and C atoms coordinated with Mo atom,CONTRASTS_WITH,Mo9 site,LEXICAL_FALSE_NEGATIVE,The H can't form an effective adsorption structure on Mo9 site and can only adsorb to O and C atoms coordinated with Mo atom.,"[""RELATION_CUE_MISMATCH""]",[],[],1,yes
f0d37b6858b2a7f6a995,Kiwook_2,Kiwook_2:main:93fc2625bf776e2d2c7f,bridge_heteronuclear_homonuclear_her_contrast,SEMANTIC_CANDIDATE,candidate,ACCEPT_AS_IS,CONFIRMED_MISS_RECOVERED_AS_CANDIDATE,heteronuclear dual-atom architecture,CONTRASTS_WITH,homonuclear dual-atom architectures,heteronuclear dual-atom architecture,CONTRASTS_WITH,homonuclear dual-atom architectures,,,,heteronuclear dual-atom architecture,CONTRASTS_WITH,homonuclear dual-atom architectures,LEXICAL_FALSE_NEGATIVE,"Thus, according to the DFT calculation results, the O-coordinated W<sub>1</sub>Mo<sub>1</sub>-NG system has a near-optimum synergistic effect and gives more favorable  $\Delta G_H$  for HER than O-coordinated Mo<sub>2</sub>-NG and N-coordinated W<sub>2</sub>-NG systems as well as other Mo atom– and W atom–nucleated structures.","[""RELATION_CUE_MISMATCH""]",[],[],1,yes
fa0810c52f16431e640f,Kiwook_3,Kiwook_3:main:fd1ef3191dcc894da599,bridge_binding_energy_identity_variation,SEMANTIC_CANDIDATE,candidate,KEEP_REJECTED,INVALID_SEMANTIC_CANDIDATE,hydrogen binding strength,VARIES_WITH,metal identity,hydrogen binding strength,VARIES_WITH,metal identity,,,,,,,INSUFFICIENT_COMPARISON_EVIDENCE;SOURCE_SUPPORT_INCOMPLETE,| Ag | B    | − | 0.01 | 3.47 |,"[""TABLE_DERIVED_RELATION_REQUIRES_CONTEXT""]",[],[],1,yes
